Data info
File name: R:\Projekte\2018_AiF_Alu-Buckel\Bearbeitung\NIMAK_260819\Daten\NIMAK_0093.d7d
Start time: 28.08.2019 10:13:27,993
Number of channels: 1
Sample rate: 200000
Store type: schnell bei Trigger
Pre time: 500
Post time: 1000


Data1

Time (s)	AI 0_Stromstärke -  (kA)
41.0262	111.6004
41.026205	111.38904
41.02621	111.51492
41.026215	111.57686
41.02622	111.33033
41.026225	111.68164
41.02623	111.2923
41.026235	111.64272
41.02624	111.41497
41.026245	111.62484
41.02625	111.51904
41.026255	111.73451
41.02626	111.38696
41.026265	111.68402
41.02627	111.60571
41.026275	111.57328
41.02628	111.65827
41.026285	111.5914
41.02629	111.81605
41.026295	111.45234
41.0263	111.82189
41.026305	111.49091
41.02631	111.75108
41.026315	111.71913
41.02632	111.68522
41.026325	111.70089
41.02633	111.6941
41.026335	111.75942
41.02634	111.64087
41.026345	111.71031
41.02635	111.83995
41.026355	111.75173
41.02636	111.71114
41.026365	111.87732
41.02637	111.73177
41.026375	111.8241
41.02638	111.81778
41.026385	111.74816
41.02639	111.77343
41.026395	111.71097
41.0264	111.87649
41.026405	111.87714
41.02641	111.91261
41.026415	111.74852
41.02642	111.85515
41.026425	111.80222
41.02643	111.86176
41.026435	111.89317
41.02644	111.8263
41.026445	111.92745
41.02645	111.80329
41.026455	111.8688
41.02646	111.82696
41.026465	111.91517
41.02647	111.87697
41.026475	111.87357
41.02648	111.86111
41.026485	111.91654
41.02649	111.89455
41.026495	111.95356
41.0265	111.75978
41.026505	111.89747
41.02651	111.97591
41.026515	111.86487
41.02652	111.94897
41.026525	111.87935
41.02653	111.81283
41.026535	111.9225
41.02654	111.74405
41.026545	112.0302
41.02655	111.78231
41.026555	111.99826
41.02656	111.88978
41.026565	111.81467
41.02657	111.91022
41.026575	112.01244
41.02658	111.78994
41.026585	111.9616
41.02659	111.88602
41.026595	111.83942
41.0266	111.97883
41.026605	111.82135
41.02661	111.91142
41.026615	111.80704
41.02662	111.82577
41.026625	111.92983
41.02663	111.82612
41.026635	111.94283
41.02664	111.87816
41.026645	111.77682
41.02665	111.91553
41.026655	111.84746
41.02666	111.8874
41.026665	111.79781
41.02667	111.84424
41.026675	111.87303
41.02668	111.70686
41.026685	111.84406
41.02669	111.86385
41.026695	111.75126
41.0267	111.8468
41.026705	111.78708
41.02671	111.9138
41.026715	111.77802
41.02672	111.81879
41.026725	111.70721
41.02673	111.81742
41.026735	111.71436
41.02674	111.98067
41.026745	111.47827
41.02675	112.05578
41.026755	111.64767
41.02676	111.70143
41.026765	111.81825
41.02677	111.54991
41.026775	111.96024
41.02678	111.52482
41.026785	111.88173
41.02679	111.50504
41.026795	111.96005
41.0268	111.38338
41.026805	111.8263
41.02681	111.6311
41.026815	111.56833
41.02682	111.92149
41.026825	111.35578
41.02683	111.77718
41.026835	111.50557
41.02684	111.68879
41.026845	111.45538
41.02685	111.60296
41.026855	111.64373
41.02686	111.49413
41.026865	111.59051
41.02687	111.50026
41.026875	111.49394
41.02688	111.57942
41.026885	111.40746
41.02689	111.6255
41.026895	111.54872
41.0269	111.4825
41.026905	111.47296
41.02691	111.35352
41.026915	111.43732
41.02692	111.50623
41.026925	111.31721
41.02693	111.59032
41.026935	111.17202
41.02694	111.65005
41.026945	111.07445
41.02695	111.54819
41.026955	111.19062
41.02696	111.41789
41.026965	111.32401
41.02697	111.20391
41.026975	111.56356
41.02698	111.00531
41.026985	111.36413
41.02699	111.12612
41.026995	111.27472
41.027	111.16415
41.027005	111.25732
41.02701	111.10514
41.027015	111.29296
41.02702	111.10175
41.027025	111.05531
41.02703	111.19062
41.027035	111.04065
41.02704	111.20493
41.027045	110.99595
41.02705	110.96388
41.027055	111.19849
41.02706	110.83556
41.027065	111.22847
41.02707	110.79651
41.027075	111.07457
41.02708	111.00209
41.027085	110.83334
41.02709	110.98129
41.027095	110.92735
41.0271	110.80402
41.027105	110.93468
41.02711	110.69292
41.027115	111.00822
41.02712	110.75062
41.027125	110.83162
41.02713	110.75026
41.027135	110.65662
41.02714	110.69465
41.027145	110.67176
41.02715	110.7235
41.027155	110.5991
41.02716	110.79699
41.027165	110.47965
41.02717	110.75043
41.027175	110.61478
41.02718	110.50337
41.027185	110.55183
41.02719	110.47953
41.027195	110.68594
41.0272	110.44127
41.027205	110.4877
41.02721	110.51941
41.027215	110.33243
41.02722	110.48698
41.027225	110.36861
41.02723	110.29166
41.027235	110.53854
41.02724	110.13877
41.027245	110.43173
41.02725	110.15057
41.027255	110.30054
41.02726	110.20792
41.027265	110.3456
41.02727	109.97158
41.027275	110.40443
41.02728	110.00365
41.027285	110.1709
41.02729	110.02994
41.027295	110.21709
41.0273	109.86447
41.027305	110.04615
41.02731	110.12876
41.027315	109.81142
41.02732	110.20058
41.027325	109.66504
41.02733	109.98952
41.027335	109.92027
41.02734	109.76434
41.027345	109.93475
41.02735	109.87812
41.027355	109.61861
41.02736	109.93904
41.027365	109.55107
41.02737	109.72864
41.027375	109.75134
41.02738	109.56043
41.027385	109.70837
41.02739	109.56353
41.027395	109.64453
41.0274	109.60806
41.027405	109.34412
41.02741	109.67577
41.027415	109.30914
41.02742	109.55923
41.027425	109.33268
41.02743	109.50154
41.027435	109.36421
41.02744	109.30705
41.027445	109.22468
41.02745	109.35211
41.027455	109.23421
41.02746	109.27332
41.027465	109.21478
41.02747	109.23594
41.027475	109.06035
41.02748	109.25948
41.027485	108.89095
41.02749	109.21258
41.027495	108.97166
41.0275	109.07298
41.027505	108.96349
41.02751	108.83975
41.027515	109.0281
41.02752	108.70004
41.027525	108.92749
41.02753	108.79099
41.027535	108.69783
41.02754	108.83224
41.027545	108.61916
41.02755	108.79832
41.027555	108.52724
41.02756	108.68996
41.027565	108.41376
41.02757	108.76643
41.027575	108.46323
41.02758	108.65551
41.027585	108.35129
41.02759	108.56289
41.027595	108.32536
41.0276	108.38425
41.027605	108.32011
41.02761	108.38371
41.027615	108.30796
41.02762	108.26242
41.027625	108.19435
41.02763	108.1469
41.027635	108.32232
41.02764	107.88911
41.027645	108.25682
41.02765	107.94544
41.027655	108.07442
41.02766	107.96165
41.027665	107.93811
41.02767	107.99766
41.027675	107.8499
41.02768	107.91099
41.027685	107.76323
41.02769	107.92207
41.027695	107.63323
41.0277	107.9101
41.027705	107.48291
41.02771	107.75333
41.027715	107.59366
41.02772	107.52761
41.027725	107.63478
41.02773	107.57762
41.027735	107.42438
41.02774	107.48273
41.027745	107.3826
41.02775	107.45013
41.027755	107.22715
41.02776	107.44023
41.027765	107.23061
41.02777	107.25564
41.027775	107.27357
41.02778	107.05876
41.027785	107.11318
41.02779	107.08815
41.027795	106.92811
41.0278	107.10567
41.027805	106.93884
41.02781	107.07432
41.027815	106.8933
41.02782	106.8539
41.027825	106.76295
41.02783	106.98712
41.027835	106.56625
41.02784	106.77385
41.027845	106.77284
41.02785	106.46593
41.027855	106.83477
41.02786	106.34202
41.027865	106.75168
41.02787	106.3782
41.027875	106.48399
41.02788	106.47905
41.027885	106.37921
41.02789	106.42618
41.027895	106.30691
41.0279	106.15128
41.027905	106.32449
41.02791	106.12214
41.027915	106.24397
41.02792	106.0276
41.027925	106.2243
41.02793	105.80891
41.027935	106.058
41.02794	105.88139
41.027945	105.96585
41.02795	105.94076
41.027955	105.83192
41.02796	105.793
41.027965	105.81982
41.02797	105.72135
41.027975	105.67123
41.02798	105.64035
41.027985	105.53932
41.02799	105.68112
41.027995	105.4008
41.028	105.48949
41.028005	105.46136
41.02801	105.3189
41.028015	105.45504
41.02802	105.16584
41.028025	105.38817
41.02803	105.18086
41.028035	105.2863
41.02804	105.09968
41.028045	105.0961
41.02805	105.16584
41.028055	104.86984
41.02806	105.11023
41.028065	104.99561
41.02807	104.85107
41.028075	104.93231
41.02808	104.70045
41.028085	104.99543
41.02809	104.61754
41.028095	104.80005
41.0281	104.67261
41.028105	104.47472
41.02811	104.84922
41.028115	104.2816
41.02812	104.64823
41.028125	104.40099
41.02813	104.40427
41.028135	104.2828
41.02814	104.30938
41.028145	104.28857
41.02815	104.24834
41.028155	104.13504
41.02816	104.13128
41.028165	104.06661
41.02817	104.06166
41.028175	103.97553
41.02818	103.96784
41.028185	103.89841
41.02819	103.98901
41.028195	103.73289
41.0282	103.78206
41.028205	103.75661
41.02821	103.66994
41.028215	103.63734
41.02822	103.72764
41.028225	103.45245
41.02823	103.64503
41.028235	103.30469
41.02824	103.56164
41.028245	103.22553
41.02825	103.50752
41.028255	103.07467
41.02826	103.38694
41.028265	103.15472
41.02827	103.1912
41.028275	103.03748
41.02828	103.04636
41.028285	103.08355
41.02829	102.8918
41.028295	103.00815
41.0283	102.87357
41.028305	102.78928
41.02831	102.94997
41.028315	102.51921
41.02832	102.8539
41.028325	102.55826
41.02833	102.72324
41.028335	102.50092
41.02834	102.57191
41.028345	102.45675
41.02835	102.4791
41.028355	102.36532
41.02836	102.25475
41.028365	102.33116
41.02837	102.18787
41.028375	102.34654
41.02838	101.92442
41.028385	102.37741
41.02839	101.82291
41.028395	102.04935
41.0284	101.98313
41.028405	101.8821
41.02841	102.05341
41.028415	101.70966
41.02842	101.76218
41.028425	101.83096
41.02843	101.60828
41.028435	101.76593
41.02844	101.48174
41.028445	101.60029
41.02845	101.596
41.028455	101.29011
41.02846	101.52518
41.028465	101.23158
41.02847	101.27324
41.028475	101.2935
41.02848	101.11457
41.028485	101.26197
41.02849	101.22287
41.028495	100.88509
41.0285	101.134
41.028505	100.80219
41.02851	101.05843
41.028515	100.75408
